Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RWY,NHS England North East And Yorkshire ,Calderdale And Huddersfield NHS Foundation Trust,"16,023",0,0,"16,023","14,066",0,0,"14,066","1,957",0,0,"1,957",87.80%,87.80%,-,-,"3,004",0,0,"3,004",227,"3,231",842,34
RXP,NHS England North East And Yorkshire ,County Durham And Darlington NHS Foundation Trust,"13,246",0,"11,322","24,568","8,116",0,"11,322","19,438","5,130",0,0,"5,130",79.10%,61.30%,-,100.00%,"4,534",0,0,"4,534",847,"5,381","1,528",10
RP5,NHS England North East And Yorkshire ,Doncaster And Bassetlaw Teaching Hospitals NHS Foundation Trust,"14,337",0,"4,376","18,713","10,123",0,"4,371","14,494","4,214",0,5,"4,219",77.50%,70.60%,-,99.90%,"4,077",0,495,"4,572","1,178","5,750","1,105",95
NNF94,NHS England North East And Yorkshire ,East Riding Community Hospital,0,0,"2,708","2,708",0,0,"2,581","2,581",0,0,127,127,95.30%,-,-,95.30%,0,0,0,0,0,0,0,0
RR7,NHS England North East And Yorkshire ,Gateshead Health NHS Foundation Trust,"6,030",0,"4,693","10,723","3,417",0,"4,637","8,054","2,613",0,56,"2,669",75.10%,56.70%,-,98.80%,"1,816",0,0,"1,816",72,"1,888",778,2
NNFA7,NHS England North East And Yorkshire ,Goole & District Hospital,0,0,"1,665","1,665",0,0,"1,631","1,631",0,0,34,34,98.00%,-,-,98.00%,0,0,0,0,0,0,0,0
RCD,NHS England North East And Yorkshire ,Harrogate And District NHS Foundation Trust,"5,508",0,"1,619","7,127","4,003",0,"1,613","5,616","1,505",0,6,"1,511",78.80%,72.70%,-,99.60%,"1,147",0,0,"1,147",310,"1,457",298,10
RWA,NHS England North East And Yorkshire ,Hull University Teaching Hospitals NHS Trust,"10,114",0,"4,397","14,511","5,129",0,"4,161","9,290","4,985",0,236,"5,221",64.00%,50.70%,-,94.60%,"4,018",0,0,"4,018","2,139","6,157","1,429",375
RV9,NHS England North East And Yorkshire ,Humber Teaching NHS Foundation Trust,0,0,"1,284","1,284",0,0,"1,279","1,279",0,0,5,5,99.60%,-,-,99.60%,0,0,0,0,0,0,0,0
RR8,NHS England North East And Yorkshire ,Leeds Teaching Hospitals NHS Trust,"18,953",791,"11,623","31,367","12,416",791,"11,442","24,649","6,537",0,181,"6,718",78.60%,65.50%,100.00%,98.40%,"3,760",0,0,"3,760","1,354","5,114","2,082",564
ARN03,NHS England North East And Yorkshire ,Local Care Direct,0,0,"2,684","2,684",0,0,"2,675","2,675",0,0,9,9,99.70%,-,-,99.70%,0,0,0,0,0,0,0,0
RXF,NHS England North East And Yorkshire ,Mid Yorkshire Teaching NHS Trust,"16,759",126,"6,945","23,830","10,819",126,"6,766","17,711","5,940",0,179,"6,119",74.30%,64.60%,100.00%,97.40%,"3,451",0,174,"3,625",901,"4,526","2,393",308
RNN,NHS England North East And Yorkshire ,North Cumbria Integrated Care NHS Foundation Trust,"9,411",0,"1,761","11,172","5,332",0,"1,664","6,996","4,079",0,97,"4,176",62.60%,56.70%,-,94.50%,"2,080",0,0,"2,080",490,"2,570",909,346
RVW,NHS England North East And Yorkshire ,North Tees And Hartlepool NHS Foundation Trust,"5,064",0,"12,066","17,130","2,725",0,"12,040","14,765","2,339",0,26,"2,365",86.20%,53.80%,-,99.80%,"1,758",0,472,"2,230","2,543","4,773",101,1
