Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
NNF16,NHS England North East And Yorkshire ,Bridlington Hospital,0,0,"1,764","1,764",0,0,"1,677","1,677",0,0,87,87,95.10%,-,-,95.10%,0,0,0,0,0,0,0,0
RWY,NHS England North East And Yorkshire ,Calderdale And Huddersfield NHS Foundation Trust,"16,778",0,0,"16,778","14,293",0,0,"14,293","2,485",0,0,"2,485",85.20%,85.20%,-,-,"2,854",0,0,"2,854",203,"3,057",598,7
RXP,NHS England North East And Yorkshire ,County Durham And Darlington NHS Foundation Trust,"13,216",0,"11,562","24,778","8,460",0,"11,562","20,022","4,756",0,0,"4,756",80.80%,64.00%,-,100.00%,"4,453",0,0,"4,453",770,"5,223","1,793",13
RP5,NHS England North East And Yorkshire ,Doncaster And Bassetlaw Teaching Hospitals NHS Foundation Trust,"14,653",0,"4,154","18,807","9,780",0,"4,110","13,890","4,873",0,44,"4,917",73.90%,66.70%,-,98.90%,"3,849",0,397,"4,246",960,"5,206","1,226",55
NNF94,NHS England North East And Yorkshire ,East Riding Community Hospital,0,0,"2,950","2,950",0,0,"2,684","2,684",0,0,266,266,91.00%,-,-,91.00%,0,0,0,0,0,0,0,0
RR7,NHS England North East And Yorkshire ,Gateshead Health NHS Foundation Trust,"6,284",0,"4,133","10,417","4,470",0,"4,096","8,566","1,814",0,37,"1,851",82.20%,71.10%,-,99.10%,"1,778",0,0,"1,778",44,"1,822",251,1
NNFA7,NHS England North East And Yorkshire ,Goole & District Hospital,0,0,"1,690","1,690",0,0,"1,676","1,676",0,0,14,14,99.20%,-,-,99.20%,0,0,0,0,0,0,0,0
RCD,NHS England North East And Yorkshire ,Harrogate And District NHS Foundation Trust,"5,833",0,"1,203","7,036","4,436",0,"1,203","5,639","1,397",0,0,"1,397",80.10%,76.10%,-,100.00%,"1,180",0,0,"1,180",277,"1,457",103,0
RWA,NHS England North East And Yorkshire ,Hull University Teaching Hospitals NHS Trust,"10,050",0,"4,501","14,551","4,430",0,"4,136","8,566","5,620",0,365,"5,985",58.90%,44.10%,-,91.90%,"3,818",0,0,"3,818","2,288","6,106","1,448",385
RV9,NHS England North East And Yorkshire ,Humber Teaching NHS Foundation Trust,0,0,"1,331","1,331",0,0,"1,324","1,324",0,0,7,7,99.50%,-,-,99.50%,0,0,0,0,0,0,0,0
RR8,NHS England North East And Yorkshire ,Leeds Teaching Hospitals NHS Trust,"17,719",778,"12,014","30,511","11,441",778,"11,907","24,126","6,278",0,107,"6,385",79.10%,64.60%,100.00%,99.10%,"3,723",0,0,"3,723","1,187","4,910","1,620",135
ARN03,NHS England North East And Yorkshire ,Local Care Direct,0,0,"2,368","2,368",0,0,"2,359","2,359",0,0,9,9,99.60%,-,-,99.60%,0,0,0,0,0,0,0,0
RXF,NHS England North East And Yorkshire ,Mid Yorkshire Teaching NHS Trust,"17,282",124,"6,751","24,157","11,421",124,"6,572","18,117","5,861",0,179,"6,040",75.00%,66.10%,100.00%,97.30%,"3,602",0,161,"3,763",833,"4,596","1,481",11
RNN,NHS England North East And Yorkshire ,North Cumbria Integrated Care NHS Foundation Trust,"9,463",0,"2,420","11,883","5,464",0,"2,371","7,835","3,999",0,49,"4,048",65.90%,57.70%,-,98.00%,"2,266",0,0,"2,266",572,"2,838",898,275
RVW,NHS England North East And Yorkshire ,North Tees And Hartlepool NHS Foundation Trust,"4,933",0,"11,358","16,291","2,357",0,"11,348","13,705","2,576",0,10,"2,586",84.10%,47.80%,-,99.90%,"1,586",0,470,"2,056","2,211","4,267",126,4
