Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RTG,NHS England Midlands ,University Hospitals Of Derby And Burton NHS Foundation Trust,"21,492",0,"8,627","30,119","11,259",0,"8,624","19,883","10,233",0,3,"10,236",66.00%,52.40%,-,100.00%,"3,972",0,0,"3,972","2,155","6,127","2,629","1,544"
RWE,NHS England Midlands ,University Hospitals Of Leicester NHS Trust,"22,688","1,936",0,"24,624","13,435","1,786",0,"15,221","9,253",150,0,"9,403",61.80%,59.20%,92.30%,-,"7,166",10,0,"7,176","4,096","11,272","2,484","1,017"
RJE,NHS England Midlands ,University Hospitals Of North Midlands NHS Trust,"15,062",523,"8,219","23,804","6,548",523,"8,063","15,134","8,514",0,156,"8,670",63.60%,43.50%,100.00%,98.10%,"4,822",0,0,"4,822","1,213","6,035","2,326","1,264"
RBK,NHS England Midlands ,Walsall Healthcare NHS Trust,"9,646",0,"3,798","13,444","5,650",0,"3,757","9,407","3,996",0,41,"4,037",70.00%,58.60%,-,98.90%,"4,081",0,0,"4,081",902,"4,983","1,792",729
RWP,NHS England Midlands ,Worcestershire Acute Hospitals NHS Trust,"13,731",0,"5,143","18,874","6,779",0,"5,087","11,866","6,952",0,56,"7,008",62.90%,49.40%,-,98.90%,"3,226",0,0,"3,226",885,"4,111","2,296","1,431"
RLQ,NHS England Midlands ,Wye Valley NHS Trust,"6,155",880,153,"7,188","3,637",880,153,"4,670","2,518",0,0,"2,518",65.00%,59.10%,100.00%,100.00%,"1,526",0,0,"1,526",140,"1,666",780,275
RCF,NHS England North East And Yorkshire ,Airedale NHS Foundation Trust,"6,601",211,0,"6,812","4,001",211,0,"4,212","2,600",0,0,"2,600",61.80%,60.60%,100.00%,-,"1,704",0,0,"1,704",536,"2,240",877,301
RFF,NHS England North East And Yorkshire ,Barnsley Hospital NHS Foundation Trust,"9,396",0,0,"9,396","5,967",0,0,"5,967","3,429",0,0,"3,429",63.50%,63.50%,-,-,"3,436",0,0,"3,436",520,"3,956",934,19
RAE,NHS England North East And Yorkshire ,Bradford Teaching Hospitals NHS Foundation Trust,"9,305",960,"3,315","13,580","7,161",960,"3,314","11,435","2,144",0,1,"2,145",84.20%,77.00%,100.00%,100.00%,"2,495",0,12,"2,507","1,406","3,913",677,83
NNF09,NHS England North East And Yorkshire ,Bransholme Health Centre,0,0,"3,624","3,624",0,0,"3,358","3,358",0,0,266,266,92.70%,-,-,92.70%,0,0,0,0,0,0,0,0
NNF16,NHS England North East And Yorkshire ,Bridlington Hospital,0,0,"1,283","1,283",0,0,"1,260","1,260",0,0,23,23,98.20%,-,-,98.20%,0,0,0,0,0,0,0,0
RWY,NHS England North East And Yorkshire ,Calderdale And Huddersfield NHS Foundation Trust,"15,944",0,0,"15,944","12,974",0,0,"12,974","2,970",0,0,"2,970",81.40%,81.40%,-,-,"2,969",0,0,"2,969",177,"3,146","1,762",145
RXP,NHS England North East And Yorkshire ,County Durham And Darlington NHS Foundation Trust,"12,948",0,"11,020","23,968","7,044",0,"11,020","18,064","5,904",0,0,"5,904",75.40%,54.40%,-,100.00%,"4,623",0,0,"4,623",881,"5,504","2,221",45
RP5,NHS England North East And Yorkshire ,Doncaster And Bassetlaw Teaching Hospitals NHS Foundation Trust,"13,844",0,"3,975","17,819","8,128",0,"3,973","12,101","5,716",0,2,"5,718",67.90%,58.70%,-,99.90%,"4,067",0,287,"4,354","1,063","5,417","1,627",339
NNF94,NHS England North East And Yorkshire ,East Riding Community Hospital,0,0,"2,419","2,419",0,0,"2,281","2,281",0,0,138,138,94.30%,-,-,94.30%,0,0,0,0,0,0,0,0
RR7,NHS England North East And Yorkshire ,Gateshead Health NHS Foundation Trust,"5,950",0,"4,198","10,148","2,854",0,"4,159","7,013","3,096",0,39,"3,135",69.10%,48.00%,-,99.10%,"1,705",0,0,"1,705",50,"1,755","1,080",12
NNFA7,NHS England North East And Yorkshire ,Goole & District Hospital,0,0,"1,571","1,571",0,0,"1,550","1,550",0,0,21,21,98.70%,-,-,98.70%,0,0,0,0,0,0,0,0
RCD,NHS England North East And Yorkshire ,Harrogate And District NHS Foundation Trust,"5,434",0,"1,305","6,739","3,526",0,"1,303","4,829","1,908",0,2,"1,910",71.70%,64.90%,-,99.80%,"1,168",0,0,"1,168",325,"1,493",465,43
RWA,NHS England North East And Yorkshire ,Hull University Teaching Hospitals NHS Trust,"10,124",0,"4,130","14,254","4,716",0,"3,815","8,531","5,408",0,315,"5,723",59.80%,46.60%,-,92.40%,"3,926",0,0,"3,926","2,284","6,210","1,654",856
RV9,NHS England North East And Yorkshire ,Humber Teaching NHS Foundation Trust,0,0,909,909,0,0,908,908,0,0,1,1,99.90%,-,-,99.90%,0,0,0,0,0,0,0,0
RR8,NHS England North East And Yorkshire ,Leeds Teaching Hospitals NHS Trust,"18,170",749,"11,411","30,330","10,625",749,"11,072","22,446","7,545",0,339,"7,884",74.00%,58.50%,100.00%,97.00%,"3,663",0,0,"3,663","1,225","4,888","2,159","1,030"
ARN03,NHS England North East And Yorkshire ,Local Care Direct,0,0,"2,654","2,654",0,0,"2,645","2,645",0,0,9,9,99.70%,-,-,99.70%,0,0,0,0,0,0,0,0
RXF,NHS England North East And Yorkshire ,Mid Yorkshire Teaching NHS Trust,"16,321",132,"6,310","22,763","9,778",132,"6,044","15,954","6,543",0,266,"6,809",70.10%,59.90%,100.00%,95.80%,"3,391",0,131,"3,522",836,"4,358","3,388","1,038"
